Статья КоАП РФ;Часть;Вид правонарушения;Санкция
Статья 12.1 Управление транспортным средством, не зарегистрированным в установленном порядке;ч. 1;Управление транспортным средством, не зарегистрированным в установленном порядке;штраф 500-800 руб.
Статья 12.1 Управление транспортным средством, не зарегистрированным в установленном порядке;ч. 1.1;Повторное совершение административного правонарушения;штраф 5000 руб. или лишение прав на 1-3 месяца
Статья 12.2 Управление транспортным средством с нарушением правил установки на нем государственных регистрационных знаков;ч. 1;Управление зарегистрированным транспортным средством с нечитаемыми, нестандартными или установленными с нарушением требований государственного стандарта государственными регистрационными знаками;предупреждение или штраф 500 руб.
Статья 12.2 Управление транспортным средством с нарушением правил установки на нем государственных регистрационных знаков;ч. 2;Управление транспортным средством без государственных регистрационных знаков, а равно управление транспортным средством без установленных на предусмотренных для этого местах государственных регистрационных знаков либо управление транспортным средством с государственными регистрационными знаками, видоизмененными или оборудованными с применением материалов, препятствующих идентификации государственных регистрационных знаков либо позволяющих их видоизменить или скрыть;штраф 5000 руб. или лишение прав на 1-3 месяца
Статья 12.2 Управление транспортным средством с нарушением правил установки на нем государственных регистрационных знаков;ч. 2.1;Управление транспортным средством с государственными регистрационными знаками, оборудованными с применением устройств, препятствующих идентификации государственных регистрационных знаков либо позволяющих их видоизменить или скрыть;лишение прав на срок от 1 года до 1,5 лет с конфискацией указанных устройств
Статья 12.2 Управление транспортным средством с нарушением правил установки на нем государственных регистрационных знаков;ч. 3;Установка на транспортном средстве заведомо подложных государственных регистрационных знаков;штраф для водителей 2500 руб.; для должностных лиц ответственных за эксплуатацию транспортных средств 15 тыс.-20 тыс. руб.; для юридических лиц 400 тыс.-500 тыс. руб.
Статья 12.2 Управление транспортным средством с нарушением правил установки на нем государственных регистрационных знаков;ч. 4;Управление транспортным средством с заведомо подложными государственными регистрационными знаками;лишение прав на срок от 6 месяцев до 1 года
Статья 12.2 Управление транспортным средством с нарушением правил установки на нем государственных регистрационных знаков;ч. 5;Повторное совершение административного правонарушения предусмотренного ч. 2;лишение прав на срок от 1 года до 1,5 лет
Статья 12.3 Управление транспортным средством водителем не имеющим при себе документов предусмотренных Правилами дорожного движения;ч. 1;Управление транспортным средством водителем не имеющим при себе регистрационных документов на транспортное средство а в установленных случаях документов предусмотренных таможенным законодательством Таможенного союза с отметками таможенных органов подтверждающими временный ввоз транспортного средства;предупреждение или штраф 500 руб.; задержание т/с помещение на спецстоянку
Статья 12.3 Управление транспортным средством водителем не имеющим при себе документов предусмотренных Правилами дорожного движения;ч. 2;Управление транспортным средством водителем не имеющим при себе документов на право управления им страхового полиса обязательного страхования гражданской ответственности владельцев транспортного средства а в случаях предусмотренных законодательством путевого листа или товарно-транспортных документов;предупреждение или штраф 500 руб.
Статья 12.3 Управление транспортным средством водителем не имеющим при себе документов предусмотренных Правилами дорожного движения;ч. 2.1;Перевозка пассажиров и багажа легковым транспортным средством используемым для оказания услуг по перевозке пассажиров и багажа водителем не имеющим при себе разрешения на осуществление деятельности по перевозке пассажиров и багажа легковым такси;штраф 5 тыс. руб.
Статья 12.3 Управление транспортным средством водителем не имеющим при себе документов предусмотренных Правилами дорожного движения;ч. 3;Передача управления транспортным средством лицу не имеющему при себе документов на право управления им;штраф 3 тыс. руб.
Статья 12.4 Нарушение правил установки на транспортном средстве устройств для подачи специальных световых или звуковых сигналов либо незаконное нанесение специальных цветографических схем автомобилей оперативных служб;ч. 1;Установка на передней части транспортного средства световых приборов с огнями красного цвета или световозвращающих приспособлений красного цвета а равно световых приборов цвет огней и режим работы которых не соответствуют требованиям Основных положений;штраф для водителя 3 тыс. руб. с конфискацией; для должностных лиц 15 тыс.-20 тыс. руб. с конфискацией; для юридических лиц 400 тыс.-500 тыс. руб. с конфискацией
